init github.com/carapace-sh/carapace/internal/shell/oil @2.9 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/carapace-sh/carapace/internal/shell/powershell @2.9 ms, 0 ms clock, 128 bytes, 2 allocs
init github.com/carapace-sh/carapace/internal/shell/tcsh @2.9 ms, 0.001 ms clock, 928 bytes, 4 allocs
init github.com/carapace-sh/carapace/internal/shell/xonsh @2.9 ms, 0 ms clock, 160 bytes, 2 allocs
init github.com/carapace-sh/carapace/internal/shell/zsh @3.0 ms, 0.003 ms clock, 1392 bytes, 11 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gh_completer/cmd/action/git @3.0 ms, 0.021 ms clock, 5672 bytes, 44 allocs
init github.com/carapace-sh/carapace @3.0 ms, 0.006 ms clock, 48 bytes, 1 allocs
init github.com/carapace-sh/carapace-bin/completers/common/acpi_completer/cmd @3.0 ms, 0.048 ms clock, 11456 bytes, 86 allocs
init github.com/carapace-sh/carapace-bin/completers/common/ant_completer/cmd @3.1 ms, 0.052 ms clock, 21792 bytes, 155 allocs
init github.com/carapace-sh/carapace-bin/completers/common/apropos_completer/cmd @3.1 ms, 0.033 ms clock, 13408 bytes, 99 allocs
init github.com/carapace-sh/carapace-bin/completers/common/apt-cache_completer/cmd @3.2 ms, 0.15 ms clock, 119600 bytes, 771 allocs
init github.com/carapace-sh/carapace-bin/completers/common/autoconf_completer/cmd @3.4 ms, 0.044 ms clock, 12048 bytes, 92 allocs
init github.com/carapace-sh/carapace-bin/completers/common/avdmanager_completer/cmd @3.4 ms, 0.096 ms clock, 79672 bytes, 553 allocs
init github.com/carapace-sh/carapace-bin/completers/common/awk_completer/cmd @3.5 ms, 0.038 ms clock, 18048 bytes, 146 allocs
init github.com/carapace-sh/carapace-bin/completers/common/baobab_completer/cmd @3.6 ms, 0.006 ms clock, 7440 bytes, 55 allocs
init github.com/carapace-sh/carapace-bin/completers/common/base32_completer/cmd @3.6 ms, 0.008 ms clock, 7920 bytes, 61 allocs
init github.com/carapace-sh/carapace-bin/completers/common/base64_completer/cmd @3.6 ms, 0.010 ms clock, 7904 bytes, 61 allocs
init github.com/carapace-sh/carapace-bin/completers/common/basename_completer/cmd @3.7 ms, 0.013 ms clock, 7640 bytes, 55 allocs
init github.com/carapace-sh/carapace-bin/completers/common/bash-language-server_completer/cmd @3.7 ms, 0.012 ms clock, 12192 bytes, 54 allocs
